advertiser_id,platform,location_at,latitude,longitude,altitude,horizontal_accuracy,vertical_accuracy,speed,publisher_id,model,day
31,0,1581201929,40.8252623,-73.9414352,-27.69999886,5.4,0,0.28340104,4,11,1
12,1,1581978188,40.715396,-73.998632,11,20,0,-1,4,15,10
45,0,1582281312,40.7972929,-73.94868,56.5,15.9,0,0,4,9,14
31,0,1581838555,40.8238819,-73.9382466,-23.79999924,15.7,0,0.004420563,4,11,9
23,1,1582074346,40.787501,-73.954806,23.3,65,0,-1,4,16,12
33,1,1582026949,40.786879,-73.943478,7.5,20,0,-1,4,14,11
41,1,1581729406,40.76573303,-73.99196689,8.715016365,65,0,-1,4,19,8
46,0,1581886391,40.7740618,-73.962768,0,22.8,0,0.26403776,4,1,9
37,0,1581846274,40.7206668,-73.9978164,-23.10000038,19.5,0,11.173675,4,8,9
3,1,1581917809,40.721113,-73.975409,5.3,34.8,0,-1,4,17,10
46,0,1582069551,40.7741658,-73.9632352,-13.5,16,0,0.021327285,4,1,11
41,1,1581916487,40.76130676,-73.98918151,12.67396355,2000,0,-1,4,19,10
36,1,1581784711,40.715924,-73.995996,14.1,65,0,-1,4,21,8
29,0,1581258267,40.7339702,-73.9885683,0,278.8,-1,0,7,2,2
16,1,1581124261,40.724888,-73.972777,1.8,10,0,18.05999947,4,15,1
29,0,1581603278,40.7316254,-73.9745606,-31.80000114,72.9,2,0,3,2,6
7,1,1581893374,40.717256,-74.009147,5.9,25,0,0,1,16,9
1,1,1581621651,40.778094,-73.982022,24.8,14.3,0,0,4,22,6
45,0,1581401627,40.7972833,-73.94868,55.89999771,15.8,0,0,4,9,4
20,1,1581951850,40.711134,-73.992076,9.6,65,0,-1,4,12,10
36,1,1581732767,40.709936,-73.997548,6.1,65,0,-1,4,21,8
39,1,1581929478,40.74885,-73.989685,14.6,128,0,0.964771092,4,20,10
34,0,1581389668,40.7809769,-73.9453177,0,16,0,0.038750064,4,3,4
47,1,1581457461,40.762101,-73.965718,20.4,44.5,0,2.140296698,4,24,4
34,0,1582052108,40.7660331,-73.9808363,-8.5,16,0,1.0267608,4,3,11
